timeStamp	elapsed	label	responseCode	responseMessage	threadName	dataType	success	failureMessage	bytes	sentBytes	grpThreads	allThreads	URL	Latency	IdleTime	Connect			
1654795854641	18638	5- add to cart/index.php?rand=1654776817671-191	200	OK	Flujo Automatización Practice 1-5	text	true		82890	1183	5	5	http://automationpractice.com/index.php	6715	0	89			
1654795854641	6715	5- add to cart/index.php?rand=1654776817671-191-0	302	Moved Temporarily	Flujo Automatización Practice 1-5	text	true		615	656	5	5	http://automationpractice.com/index.php?rand=1654776817671	6715	0	89			
1654795861356	11923	5- add to cart/index.php?rand=1654776817671-191-1	200	OK	Flujo Automatización Practice 1-5	text	true		82275	527	5	5	http://automationpractice.com/index.php	11103	0	0			
1654795881465	184	5- add to cart/index.php?rand=1654776817671-191	508	Loop Detected	Flujo Automatización Practice 1-3	text	false	Test failed: text expected to contain /Product successfully added to your shopping cart/	493	656	5	5	http://automationpractice.com/index.php?rand=1654776817671	184	0	91			
1654795881364	14802	5- add to cart/index.php?rand=1654776817671-191	200	OK	Flujo Automatización Practice 1-1	text	true		82892	1183	5	5	http://automationpractice.com/index.php	7201	0	89			
1654795881364	7201	5- add to cart/index.php?rand=1654776817671-191-0	302	Moved Temporarily	Flujo Automatización Practice 1-1	text	true		611	656	5	5	http://automationpractice.com/index.php?rand=1654776817671	7201	0	89			
1654795888564	7602	5- add to cart/index.php?rand=1654776817671-191-1	200	OK	Flujo Automatización Practice 1-1	text	true		82281	527	5	5	http://automationpractice.com/index.php	7102	0	0			
1654795889817	6951	6- ingtresed  to cart/index.php-192	200	OK	Flujo Automatización Practice 1-2	text	true		26838	440	5	5	http://automationpractice.com/index.php?controller=order	6548	0	90			
1654795894705	5052	6- ingtresed  to cart/index.php-192	200	OK	Flujo Automatización Practice 1-4	text	true		26830	440	5	5	http://automationpractice.com/index.php?controller=order	4759	0	88			
1654795910112	3059	7- agregate  unid/index.php?rand=1654776857361-194	200	OK	Flujo Automatización Practice 1-4	text	true		3265	761	5	5	http://automationpractice.com/index.php?rand=1654776857361	2949	0	94			
1654795912511	3058	6- ingtresed  to cart/index.php-192	200	OK	Flujo Automatización Practice 1-5	text	true		26830	440	5	5	http://automationpractice.com/index.php?controller=order	2855	0	89			
1654795919745	1087	6- ingtresed  to cart/index.php-192	200	OK	Flujo Automatización Practice 1-3	text	true		26820	440	5	5	http://automationpractice.com/index.php?controller=order	997	0	90			
1654795929043	1449	6- ingtresed  to cart/index.php-192	200	OK	Flujo Automatización Practice 1-1	text	true		26824	440	5	5	http://automationpractice.com/index.php?controller=order	1341	0	93			
1654795928236	2704	7- agregate  unid/index.php?rand=1654776857361-194	200	OK	Flujo Automatización Practice 1-2	text	true		82898	1305	5	5	http://automationpractice.com/index.php	900	0	92			
1654795928236	900	7- agregate  unid/index.php?rand=1654776857361-194-0	302	Moved Temporarily	Flujo Automatización Practice 1-2	text	true		619	761	5	5	http://automationpractice.com/index.php?rand=1654776857361	900	0	92			
1654795929137	1803	7- agregate  unid/index.php?rand=1654776857361-194-1	200	OK	Flujo Automatización Practice 1-2	text	true		82279	544	5	5	http://automationpractice.com/index.php	1365	0	0			
1654795935288	1807	8- continue cart/index.php-195	200	OK	Flujo Automatización Practice 1-4	text	true		26737	464	5	5	http://automationpractice.com/index.php?controller=order&step=1	1697	0	95			
1654795941588	1970	7- agregate  unid/index.php?rand=1654776857361-194	200	OK	Flujo Automatización Practice 1-1	text	true		82884	1305	5	5	http://automationpractice.com/index.php	740	0	96			
1654795941588	740	7- agregate  unid/index.php?rand=1654776857361-194-0	302	Moved Temporarily	Flujo Automatización Practice 1-1	text	true		611	761	5	5	http://automationpractice.com/index.php?rand=1654776857361	740	0	96			
1654795942328	1230	7- agregate  unid/index.php?rand=1654776857361-194-1	200	OK	Flujo Automatización Practice 1-1	text	true		82273	544	5	5	http://automationpractice.com/index.php	784	0	0			
1654795943423	5390	7- agregate  unid/index.php?rand=1654776857361-194	200	OK	Flujo Automatización Practice 1-3	text	true		82890	1279	5	5	http://automationpractice.com/index.php	2236	0	91			
1654795943423	2236	7- agregate  unid/index.php?rand=1654776857361-194-0	302	Moved Temporarily	Flujo Automatización Practice 1-3	text	true		619	735	5	5	http://automationpractice.com/index.php?rand=1654776857361	2236	0	91			
1654795945659	3154	7- agregate  unid/index.php?rand=1654776857361-194-1	200	OK	Flujo Automatización Practice 1-3	text	true		82271	544	5	5	http://automationpractice.com/index.php	2716	0	0			
1654795947334	1734	7- agregate  unid/index.php?rand=1654776857361-194	200	OK	Flujo Automatización Practice 1-5	text	true		3267	761	5	5	http://automationpractice.com/index.php?rand=1654776857361	1639	0	102			
1654795958523	4135	8- continue cart/index.php-195	200	OK	Flujo Automatización Practice 1-2	text	true		26733	464	5	5	http://automationpractice.com/index.php?controller=order&step=1	3745	0	92			
1654795959814	5458	8- continue cart/index.php-195	200	OK	Flujo Automatización Practice 1-5	text	true		26735	464	5	5	http://automationpractice.com/index.php?controller=order&step=1	5048	0	96			
1654795962986	6785	9- Address cart/index.php?controller=order-196	200	OK	Flujo Automatización Practice 1-4	text	true		26822	644	5	5	http://automationpractice.com/index.php?controller=order	6286	0	90			
1654795963492	6674	8- continue cart/index.php-195	200	OK	Flujo Automatización Practice 1-3	text	true		26739	464	5	5	http://automationpractice.com/index.php?controller=order&step=1	6272	0	90			
1654795963855	7503	8- continue cart/index.php-195	200	OK	Flujo Automatización Practice 1-1	text	true		26745	464	5	5	http://automationpractice.com/index.php?controller=order&step=1	7110	0	91			
1654795991497	1357	9- Address cart/index.php?controller=order-196	200	OK	Flujo Automatización Practice 1-2	text	true		26822	644	5	5	http://automationpractice.com/index.php?controller=order	1267	0	90			
1654795994614	2055	9- Address cart/index.php?controller=order-196	200	OK	Flujo Automatización Practice 1-1	text	true		26824	644	5	5	http://automationpractice.com/index.php?controller=order	1950	0	87			
1654795995388	2067	9- Address cart/index.php?controller=order-196	200	OK	Flujo Automatización Practice 1-5	text	true		26830	644	5	5	http://automationpractice.com/index.php?controller=order	1976	0	88			
1654796000550	1008	9- Address cart/index.php?controller=order-196	200	OK	Flujo Automatización Practice 1-3	text	true		26828	644	5	5	http://automationpractice.com/index.php?controller=order	920	0	90			
1654796004794	3288	10- Shipping cart/index.php?controller=order&multi-shipping=-197	200	OK	Flujo Automatización Practice 1-4	text	true		26646	649	5	5	http://automationpractice.com/index.php?controller=order&multi-shipping=	3083	0	107			
1654796009855	915	10- Shipping cart/index.php?controller=order&multi-shipping=-197	200	OK	Flujo Automatización Practice 1-1	text	true		26638	649	5	5	http://automationpractice.com/index.php?controller=order&multi-shipping=	809	0	90			
1654796010880	1650	10- Shipping cart/index.php?controller=order&multi-shipping=-197	200	OK	Flujo Automatización Practice 1-2	text	true		26642	649	5	5	http://automationpractice.com/index.php?controller=order&multi-shipping=	1561	0	100			
1654796019384	681	10- Shipping cart/index.php?controller=order&multi-shipping=-197	200	OK	Flujo Automatización Practice 1-3	text	true		26638	649	5	5	http://automationpractice.com/index.php?controller=order&multi-shipping=	590	0	90			
1654796032156	1104	10- Shipping cart/index.php?controller=order&multi-shipping=-197	200	OK	Flujo Automatización Practice 1-5	text	true		26640	649	5	5	http://automationpractice.com/index.php?controller=order&multi-shipping=	1014	0	96			
1654796040028	2305	11- Payment/index.php-198	200	OK	Flujo Automatización Practice 1-2	text	true		26855	501	5	5	http://automationpractice.com/index.php?fc=module&module=bankwire&controller=payment	2135	0	90			
1654796040182	2160	11- Payment/index.php-198	200	OK	Flujo Automatización Practice 1-3	text	true		26857	501	5	5	http://automationpractice.com/index.php?fc=module&module=bankwire&controller=payment	1989	0	89			
1654796041354	1415	11- Payment/index.php-198	200	OK	Flujo Automatización Practice 1-4	text	true		26867	501	5	5	http://automationpractice.com/index.php?fc=module&module=bankwire&controller=payment	1326	0	95			
1654796047658	2190	11- Payment/index.php-198	200	OK	Flujo Automatización Practice 1-1	text	true		26861	501	5	5	http://automationpractice.com/index.php?fc=module&module=bankwire&controller=payment	2017	0	90			
1654796054737	1557	11- Payment/index.php-198	200	OK	Flujo Automatización Practice 1-5	text	true		26861	501	5	5	http://automationpractice.com/index.php?fc=module&module=bankwire&controller=payment	1466	0	90			
1654796068434	2140	12- Confirm order/index.php-200	200	OK	Flujo Automatización Practice 1-3	text	true		36693	1573	5	5	http://automationpractice.com/index.php?controller=authentication&back=history	800	0	89			
1654796068434	800	12- Confirm order/index.php-200-0	302	Moved Temporarily	Flujo Automatización Practice 1-3	text	true		605	579	5	5	http://automationpractice.com/index.php?controller=order-confirmation&id_cart=4706629&id_module=3&id_order=443750&key=811a1a1632aee738e04002dd3ae856fc	800	0	89			
1654796069234	645	12- Confirm order/index.php-200-1	302	Moved Temporarily	Flujo Automatización Practice 1-3	text	true		578	487	5	5	http://automationpractice.com/index.php?controller=history	645	0	0			
1654796069879	695	12- Confirm order/index.php-200-2	200	OK	Flujo Automatización Practice 1-3	text	true		35510	507	5	5	http://automationpractice.com/index.php?controller=authentication&back=history	520	0	0			
1654796073012	2232	12- Confirm order/index.php-200	200	OK	Flujo Automatización Practice 1-4	text	true		36693	1573	4	4	http://automationpractice.com/index.php?controller=authentication&back=history	559	0	91			
1654796073012	559	12- Confirm order/index.php-200-0	302	Moved Temporarily	Flujo Automatización Practice 1-4	text	true		605	579	4	4	http://automationpractice.com/index.php?controller=order-confirmation&id_cart=4706629&id_module=3&id_order=443750&key=811a1a1632aee738e04002dd3ae856fc	559	0	91			
1654796073571	496	12- Confirm order/index.php-200-1	302	Moved Temporarily	Flujo Automatización Practice 1-4	text	true		580	487	4	4	http://automationpractice.com/index.php?controller=history	496	0	0			
1654796074067	1177	12- Confirm order/index.php-200-2	200	OK	Flujo Automatización Practice 1-4	text	true		35508	507	4	4	http://automationpractice.com/index.php?controller=authentication&back=history	999	0	0			
1654796076941	3124	12- Confirm order/index.php-200	200	OK	Flujo Automatización Practice 1-1	text	true		36693	1573	3	3	http://automationpractice.com/index.php?controller=authentication&back=history	625	0	90			
1654796076941	625	12- Confirm order/index.php-200-0	302	Moved Temporarily	Flujo Automatización Practice 1-1	text	true		605	579	3	3	http://automationpractice.com/index.php?controller=order-confirmation&id_cart=4706629&id_module=3&id_order=443750&key=811a1a1632aee738e04002dd3ae856fc	625	0	90			
1654796077567	600	12- Confirm order/index.php-200-1	302	Moved Temporarily	Flujo Automatización Practice 1-1	text	true		578	487	3	3	http://automationpractice.com/index.php?controller=history	600	0	0			
1654796078167	1898	12- Confirm order/index.php-200-2	200	OK	Flujo Automatización Practice 1-1	text	true		35510	507	3	3	http://automationpractice.com/index.php?controller=authentication&back=history	1717	0	0			
1654796079851	3523	12- Confirm order/index.php-200	200	OK	Flujo Automatización Practice 1-2	text	true		36683	1573	2	2	http://automationpractice.com/index.php?controller=authentication&back=history	1463	0	89			
1654796079851	1463	12- Confirm order/index.php-200-0	302	Moved Temporarily	Flujo Automatización Practice 1-2	text	true		603	579	2	2	http://automationpractice.com/index.php?controller=order-confirmation&id_cart=4706629&id_module=3&id_order=443750&key=811a1a1632aee738e04002dd3ae856fc	1463	0	89			
1654796081314	1092	12- Confirm order/index.php-200-1	302	Moved Temporarily	Flujo Automatización Practice 1-2	text	true		574	487	2	2	http://automationpractice.com/index.php?controller=history	1092	0	0			
1654796082407	967	12- Confirm order/index.php-200-2	200	OK	Flujo Automatización Practice 1-2	text	true		35506	507	2	2	http://automationpractice.com/index.php?controller=authentication&back=history	791	0	0			
1654796090617	1908	12- Confirm order/index.php-200	200	OK	Flujo Automatización Practice 1-5	text	true		36693	1573	1	1	http://automationpractice.com/index.php?controller=authentication&back=history	789	0	89			
1654796090617	789	12- Confirm order/index.php-200-0	302	Moved Temporarily	Flujo Automatización Practice 1-5	text	true		603	579	1	1	http://automationpractice.com/index.php?controller=order-confirmation&id_cart=4706629&id_module=3&id_order=443750&key=811a1a1632aee738e04002dd3ae856fc	789	0	89			
1654796091406	408	12- Confirm order/index.php-200-1	302	Moved Temporarily	Flujo Automatización Practice 1-5	text	true		578	487	1	1	http://automationpractice.com/index.php?controller=history	408	0	0			
1654796091814	711	12- Confirm order/index.php-200-2	200	OK	Flujo Automatización Practice 1-5	text	true		35512	507	1	1	http://automationpractice.com/index.php?controller=authentication&back=history	537	0	0			
